Item Name:,Price: (£GBP & $USD),Link:,Description:
Raspberry Pi Zero 2WH,£17.30 / $23.41,https://thepihut.com/products/raspberry-pi-zero-2?variant=43855634497731,"The brains of the project, it will run the code and store all of the things needed to run the program on it."
Li-Ion Battery HAT,£18.30 / $24.77,https://thepihut.com/products/li-ion-battery-hat-for-raspberry-pi,The housing for the battery. Is a case that holds the battery in and can provide power out of the battery.
Batteries (14500),,,
Micro-USB Cable,,,
Display,,,
Buttons (x3),,,
Potentiometer / Rotary Encoder,,,
Speakers,,,
SD Card (32GB),,,
Jumper Cables,,,
Total,,,
